fruits,numbers_of_r
abiu,0
achacha,0
ackee,0
afghan cherry,2
african cherry orange,4
african mangosteen,1
allegheny plum,0
almond,0
altai apple,0
amazon grape,1
ambarella,1
american black elderberry,4
american red raspberry,5
annona coriacea,1
annona jahnii,0
annona nutans,0
annonilla,0
antipolo,0
apple,0
apple berry,2
apricot,1
arabian coffee,1
araticum-cagão,1
aratincum do para,2
arius,1
arnott's mountain black plum,1
artocarpus lowii,2
asian pear,1
atoto,0
bacupari,1
bacuri,1
bailan melon,0
bajoura citron,2
banana,0
banana melon,0
banana passionfruit,1
beach butia,0
beach sugar apple,1
bear's plum,1
bearberry,3
beccari,1
ber,1
bergamot orange,2
bilberry cactus fruit,3
binjai,0
binukaw,0
black apple,0
black plum,0
black raspberry,3
blackberry,2
blue tongue,0
blueberry,2
bokhara plum,1
bolivian mountain coconut,0
bolwarra,2
boquila,0
borojó,1
boysenberry,2
briançon apricot,2
broad-leaved brown pine fruit,3
buddha's hand,0
burahol,1
burmese grape,2
bush butter fruit,2
butia matogrossensis,1
button mangosteen,0
cacao,0
cactus pineapple,0
cainito,0
canadian serviceberry,3
canistel,0
carob,1
cattley guava,0
cedar bay cherry,3
centennial variegated kumquat,1
cerrado pear,3
ceylon gooseberry,2
cherry plum,2
chinese flowering apple,1
chinese white pear,1
chocolate vine fruit,1
citron,1
citron melon,1
cloudberry,2
clove cherry,2
coarse dodder-laurel fruit,4
coolamon,0
cornelian cherry,3
courbaril,2
cowa mangosteen,0
crane melon,1
creek plum,1
crenshaw melon,1
cuajilote,0
cucumis prophetarum,2
cudrang,1
cutleaf evergreen blackberry,4
darvaz plum,1
date-plum,0
david's peach,0
desert fig,1
dhung,0
doub palm fruit,1
dwarf butia,1
dwarf red blackberry,4
elderberry,3
elephant apple,0
emu apple,0
entawak,0
european red raspberry,5
european wild pear,2
false pineapple,0
fergana peach,1
fibrous satinash fruit,2
ficus carrii,2
ficus neriifolia,1
ficus sinuata,0
ficus ulmifolia,0
ficus wassa,0
fig,0
fony baobab fruit,1
fox grape,1
gamboge,0
gansu peach,0
garcinia pseudoguttifera,2
garden dewberry,3
garlic passionfruit,2
golden himalayan raspberry,3
gooseberry,2
gowok,0
greek juniper berry,4
green plum,1
greene's mountain-ash fruit,2
guavaberry,2
gubinge,0
gympie-gympie fruit,1
gấc,0
hackberry,2
hala fruit,1
hardy kiwi,1
hawaiian raspberry,3
hokkaido bird cherry,3
hollyleaf cherry,2
honeydew melon,0
hortulan plum,1
ice-cream bean,1
iyokan,0
jagua,0
jambolan,0
japanese alpine cherry,2
japanese bird cherry,3
japanese bramble berry,3
japanese crab,1
japanese fig,0
japanese silverberry,3
jiangsu kumquat,0
jocote,0
juneberry,2
juniper berry,3
jícara,1
kaffir lime,1
kaido crab apple,1
kajari melon,1
kazak pear,1
king coconut,0
kinkoji unshiu,0
kiwano,0
kiyomi,0
kokum,0
kolkhoznitsa melon,0
korlan,1
lala palm,0
langsat,0
lardizabala,1
limeberry,2
limelon,0
little gooseberry,2
loganberry,2
long-peduncled almond,0
loquat,0
low juneberry,2
low serviceberry,3
luóhàn guǒ,0
lychee,0
lúcuma,0
madan,0
magenta lilly pilly,0
malabar plum,1
malay rose apple,1
mamey sapote,0
manchurian crab apple,2
mandacaru,1
mandarin orange,2
mangosteen,0
mangshanyegan,0
maracuja mochila,1
mardarrgu,3
marula,1
mayapple,0
maypop,0
medlar,1
melogold,0
micrantha,1
midgen berry,2
millaa millaa,0
mirza melon,1
monstera deliciosa,1
mountain papaya,0
mundu,0
myrtle-leaved orange,2
nageia,0
nanjing cherry,2
natal orange,1
nectarine,1
nepalese raspberry,3
nepali hog plum,0
niedzwetzky's apple,0
nipa palm fruit,1
nokaidō,0
north american cantaloupe,2
nutmeg fruit,1
ojai pixie,0
oleaster-leafed pear,2
ooray,1
orange,1
oroblanco,1
oshima cherry,2
otaheite gooseberry,2
passiflora ampullacea,1
pawpaw,0
peluntan,0
pepino,0
persian juniper berry,4
phalsa,0
pili,0
pin cherry,2
pineapple,0
pingan,0
pink banana,0
pink satinash fruit,1
pinkglow pineapple,0
pitaya-da-guatemala,0
plantain,0
plum pine fruit,1
plumleaf crab apple,1
plymouth pear,1
pomegranate,1
pond apple,0
ponderosa lemon,1
poro poro,2
prickly juniper berry,4
prunus cortapico,2
purple apple-berry,3
purple-flowered raspberry,5
pyrus glabra,2
quince,0
raisin tree fruit,3
ramontchi,1
red banana passionfruit,2
red currant,3
regel pear,2
rhubarb,2
rimu,1
river cherry,4
roundleaf serviceberry,4
russian olive,1
salak,0
saskatoon,0
savannah cherry,2
scarlet passionfruit,2
sea coconut,0
sea grape,1
seashore mangosteen,1
shangjuan,0
shoebutton ardisia,1
silver buffaloberry,3
sloe,0
small-leaved fuchsia,0
small-leaved tamarind,1
smooth blackberry,2
smooth serviceberry,3
snow raspberry,3
soh-sang,0
sorb,1
sour cherry,3
sour fig,1
southern juniper berry,4
spanish tamarind,1
stinking passionfruit,1
strawberry,3
sudachi,0
sugar plum,1
swartbas,1
syzygium alternifolium,1
syzygium calubcob,0
syzygium incarnatum,1
syzygium mananquil,0
syzygium nervosum,1
taiwan cherry,2
tamaran,1
tamarillo,1
tamarind,1
tangelo,0
tangerine,1
tarocco blood orange,2
terap nasi,1
terengganu cherry,3
texas almond,0
thimbleberry,2
tigger melon,1
toyon,0
trichosanthes beccariana,2
viagra palm fruit,2
wampee,0
water pear,2
watermelon,1
watery rose apple,2
white kwai muk,0
white passionfruit,1
white satinash fruit,1
wild fig,0
wild himalayan cherry,2
wild passionfruit,1
wild strawberry,3
wongi,0
yellow plum,0
yew berry,2
yuzu,0
zig-zag vine fruit,1
ziziphus incurva,1
zumi crabapple,1
